name,norad_id,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,line1,line2
FENGYUN 3E,49008,26050.59190414,98.75,55.309,0.0002707,73.4006,286.7468,14.19890357,1 49008U 21062A   26050.59190414 -.00000225  00000+0 -85372-4 0  9997,2 49008  98.7500  55.3090 0002707  73.4006 286.7468 14.19890357239899
GOES 18,51850,26050.57835444,0.0203,88.4022,6.26e-05,292.9988,199.3122,1.0027222,1 51850U 22021A   26050.57835444  .00000102  00000+0  00000+0 0  9990,2 51850   0.0203  88.4022 0000626 292.9988 199.3122  1.00272220  5414
NOAA 21 (JPSS-2),54234,26050.53711980,98.7534,351.0135,0.0002047,139.8045,220.3283,14.19546889,1 54234U 22150A   26050.53711980  .00000057  00000+0  48008-4 0  9990,2 54234  98.7534 351.0135 0002047 139.8045 220.3283 14.19546889169851
METEOSAT-12 (MTG-I1),54743,26050.29836488,0.7268,27.0648,0.0001899,275.1842,314.044,1.0027237,1 54743U 22170C   26050.29836488 -.00000002  00000+0  00000+0 0  9997,2 54743   0.7268  27.0648 0001899 275.1842 314.0440  1.00272370 11797
TIANMU-1 03,55973,26050.60109031,97.5153,220.3207,0.000359,154.0464,206.0964,15.43473124,1 55973U 23039A   26050.60109031  .00015953  00000+0  35795-3 0  9993,2 55973  97.5153 220.3207 0003590 154.0464 206.0964 15.43473124162671
TIANMU-1 04,55974,26050.62926223,97.5086,219.5154,0.0004303,151.418,208.7305,15.43867158,1 55974U 23039B   26050.62926223  .00016477  00000+0  36473-3 0  9992,2 55974  97.5086 219.5154 0004303 151.4180 208.7305 15.43867158162680
TIANMU-1 05,55975,26050.64181969,97.5132,220.0209,0.0003147,173.2525,186.8765,15.43416946,1 55975U 23039C   26050.64181969  .00016012  00000+0  35996-3 0  9999,2 55975  97.5132 220.0209 0003147 173.2525 186.8765 15.43416946162660
TIANMU-1 06,55976,26050.62942863,97.5144,220.532,0.0003532,169.0809,191.0517,15.43900658,1 55976U 23039D   26050.62942863  .00016496  00000+0  36477-3 0  9997,2 55976  97.5144 220.5320 0003532 169.0809 191.0517 15.43900658162682
FENGYUN 3G,56232,26050.50002811,49.992,232.8934,0.0010444,292.5114,67.4748,15.53332589,1 56232U 23055A   26050.50002811  .00027695  00000+0  43495-3 0  9999,2 56232  49.9920 232.8934 0010444 292.5114  67.4748 15.53332589161717
METEOR-M2 3,57166,26050.61953413,98.6256,107.919,0.0004655,141.1111,219.0403,14.24035661,1 57166U 23091A   26050.61953413 -.00000002  00000+0  18011-4 0  9992,2 57166  98.6256 107.9190 0004655 141.1111 219.0403 14.24035661137787
